"Line Number","Original Tamil Text","Transliterated Text","English Translation","Themes","Imagery","Literary Devices"
"302","திருந்து இலை நெடுவேல் தென்னவன் பொதியில்","Tiruntu iḷai neṭuvēl teṉṉavaṉ potiyil","that come down from the difficult-to-scale peaks of Pothi mountains belonging to the Pāndiyan king","Pothi Mountains, Pāndiyan King","Difficult Peaks","Descriptive"
"303","அருஞ்சிமை இழிதரும் ஆர்த்துவரல் அருவியின்","Aruñcimai iḻitāṟuṁ ārttuvaral aruviyiṉ","who defeated his enemies and owns an ocean-like army with long spears with perfect blades.","Ocean-like Army, Spears","Long Spears","Descriptive"
"304","ததும்பு சீர் இன்னியங்கறங்கக் கைதொழுது","Tatumput tīr iṉṉiyaṅkaṟaṅkak kaitoḻutu","Is it good to wear palm fronds and garlands and dance all night?","Palm Fronds, Garlands","Dance","Rhetorical Question"
"305","உருகெழு சிறப்பின் முருகு மனைத் தரீஇக்","Urukeḻu ciṟappin muruku maṉait tarīīk","My heart thinks about the lord of the fine mountains who comes to our midnight tryst through the mountain peaks","Lord of the Mountains","Midnight Tryst","Imagery"
"306","கடம்பும் களிறும் பாடி நுடங்குபு","Kaṭampum kaḷiṟum pāṭi nuṭaṅkupu","in pitch darkness that ruins the long paths with harsh caves","Darkness, Paths","Harsh Caves","Imagery"
"307","தோடுந்தொடலையும் கைக்கொண்டு, அல்கலும்","Tōṭuntuṭalayum kaiykoṇṭu, alkaḷum","where a snake that lost its gems thinks that bees with fine colors that hover above the thick-leaved kānthal flowers, are its gems.","Snake, Bees","Thick-leaved Kāṉthal Flowers","Imagery"
"308","ஆடினர் ஆதல் நன்றோ? நீடு","Āṭiṉar ādal naṉṟō? Nīṭu","have lost their prior beauty.","Loss of Beauty","Loss of Beauty","Emotional Expression"
"309","நின்னொடு தெளித்த நன் மலை நாடன்","Niṉṉoṭu teḻitta ṉaṉ malai nāṭaṉ","My heart thinks about the lord of the fine mountains","Lord of the Mountains","Midnight Tryst","Imagery"
"310","குறிவரல் அரை நாள் குன்றத்து உச்சி","Kuṟivaraṉaṟa āṟai nāḷ kuṉṟattu ucci","who comes to our midnight tryst through the mountain peaks","Mountain Peaks","Midnight Tryst","Imagery"
"311","நெறி கெட வீழ்ந்த துன்னருங் கூர் இருள்","Neṟi keṭa vīḻnta tuṉṉaraṉ kūṟ iṟuḷ","in pitch darkness that ruins the long paths with harsh caves","Darkness, Paths","Harsh Caves","Imagery"
"312","திரு மணி உமிழ்ந்த நாகம் காந்தள்","Tiru maṇi uḻinta nākam kāntal","where a snake that lost its gems thinks that bees with fine colors that hover above the thick-leaved kānthal flowers, are its gems.","Snake, Bees","Thick-leaved Kāṉthal Flowers","Imagery"
"313","கொழு மடல் புதுப் பூ ஊதும் தும்பி","Koḻu maṭal putup pū ūḍum tumbī","My heart thinks about the lord of the fine mountains who comes to our midnight tryst through the mountain peaks","Lord of the Mountains","Midnight Tryst","Imagery"
"314","நன்னிறம் மருளும் அரு விடர்","Naṉṉiṟam maṟuḷum aru viṭar","My heart thinks about the lord of the fine mountains who comes to our midnight tryst through the mountain peaks","Lord of the Mountains","Midnight Tryst","Imagery"
"315","இன்னா நீள் இடை நினையும், என் நெஞ்சே.","Iṉṉā nīḷ iṭai niṉaiyum, eṉ neñcē.","My heart thinks about the lord of the fine mountains who comes to our midnight tryst through the mountain peaks","Lord of the Mountains","Midnight Tryst","Imagery"
"316","துஞ்சுவது போல இருளி விண் பக","thuñcuvatu pōla iṟuḷi viṇ paḵ","Becoming dark like sleep, splitting the sky with","Nature's power, Night","Dark clouds, Lightning","Simile"
"317","இமைப்பது போல மின்னி, உறைக்கொண்டு","imaiyppatu pōla miṉṉi, uṟaikkōṇḍu","lightning that is like blinking, clouds that climb","Nature's power, Thunder","Lightning, Climbing clouds","Simile"
"318","ஏறுவதுப் போலப் பாடு சிறந்து உரைஇ","ēṟuvatu pōla pāṭu ciṟantu uraiya","up carrying water, move and roar endlessly","Nature's power, Rain","Roaring clouds, Endless movement","Simile"
"319","நிலம் நெஞ்சு உட்க ஓவாது சிலைத்து ஆங்கு","nilam neñcu uṭka ōvātu cilaittu āṅku","causing the heart of the land to tremble in fear","Nature's power, Fear","Trembling land","Metaphor"
"320","ஆர் தளி பொழிந்த வார் பெயற் கடை நாள்,","ār taḷi poḻinda vāṟ peyar kaṭai nāḷ","pour unceasingly abundant rain in the last days","Heavy rain, Monsoon","Abundant rain","Hyperbole"
"321","ஈன்று நாள் உலந்த வாலா வெண்மழை","īṉṟu nāḷ ulaṉṟa vāḷā veṇmaḻai","of heavy monsoon, and the empty, impure clouds","Monsoon, Impurity","Heavy monsoon","Imagery"
"322","வான் தோய் உயர்வரை ஆடும் வைகறைப்","vāṉ tōy uyarvarai āṭum vaikaṟaiṟ","move around the sky-touching, lofty mountains","Mountains, Sky","Lofty mountains","Imagery"
"323","புதல் ஒளி சிறந்த காண்பு இன் காலைத்","putal oḷi ciṟanta kāṇpu iṉ kāḷaitt","At dawn when the bushes are bright and lovely","Dawn, Nature","Bright bushes","Imagery"
"324","தண் நறும் படுநீர் மாந்திப் பதவு அருந்து","taṇ naṟum paṭunīr māntip patavu aruñṭu","a stag with white back and twisted antlers drinks","Stag, Pond","Drinking stag","Imagery"
"325","வெண்புறக்கு உடைய திரி மருப்பு இரலை,","veṇpuṟakku uṭaiya tīri maṟuppu iralai","water from a cool, fragrant pond, grazes on","Pond, Arukam grass","Fragrant pond","Imagery"
"326","வார் மணல் ஒரு சிறைப் பிடவு அவிழ் கொழு நிழல்","vāṟ maṇal oru ciṟaip piṭavu avizḷ koḻu niḻal","arukam grass, and rests happily on the stretched","Stretched sands, Shade","Dense shade of pidavam bushes","Imagery"
"327","காமர் துணையொடு ஏமுற வதிய,","kāmar tuṇaiyoṭu ēmuṟa vadhiya","sands in the dense shade of pidavam bushes with flowers","Dense shade, Flowers","Pretty mate","Imagery"
"328","அரக்கு நிற உருவின் ஈயல் மூதாய்","arakku niṟa uruvin īyal mūttāy","Many pattupoochis, like red vermilion, pretty","Pattupoochis, Vermilion","Scattered vermilion","Simile"
"329","பரப்பியவை போல் பாஅய்ப் பலவுடன்","parappiyavai pōl pāāyppalavuṭuṇ","and bright, are spread like someone had","Bright pattupoochis","Scattered vermilion","Simile"
"330","நீர் வார் மருங்கின் ஈர் அணி திகழ,","nīr vāṟ maṟuṅkiṉ īr aṇi tiṟa,","scattered them on the wet ground where water","Wet ground, Water","Flowing water","Imagery"
"331","இன்னும் வாரார் ஆயின் நன்னுதல்","iṉṉum vāṟār āyiṉ naṉṉutal","is flowing.","Wet ground","Wet ground","Imagery"
"332","யாது கொல் மற்று அவர் நிலையே காதலர்","yātu koḷ maṟṟu avar nilaiyē kādalār","My friend with a fine forehead! Since my lover","Friend, Lover","Fine forehead","Metaphor"
"333","கருவிக் கார் இடி இரீஇய","karuvik kār iṭi irīīya","has not come back, I wonder what has happened to him.","Waiting, Uncertainty","Uncertainty about the lover's return","Rhetorical question"
"334","பருவ மன், அவர் வருதும் என்றதுவே.","paruva man, avar varutum eṉṟatuvē","He told me that he will return in the monsoon season","Monsoon, Rain","Uncertain return","Imagery"
"335","பெருங்கடல் வேட்டத்துச் சிறுகுடிப் பரதவர்","peruṅkaṭal vēṭṭat tuḻ ciṟukuṭi paratavar","She is the loving daughter","Merchant's daughter","Seashore, Merchant's cart","Metaphor"
"336","இருங் கழிச்செறுவின் உழாஅது செய்த","iruṅ kaḻicceṟuviṉ uḻāatu ceyta","of a salt merchant who goes through","Salt merchant","Cracked mountains","Imagery"
"337","வெண்கல் உப்பின் கொள்ளை சாற்றி,","veṇkaḷ uppiṉ koḷḷai sāṟṟi,","mountains cracked by the sun’s heat,","White grainy salt","Salt pans, Bullock cart","Imagery"
"338","என்றூழ் விடர குன்றம் போகும்","eṉṟūḻ viṭar kuṉṟam pōkum","in his fast bullock cart, goading his oxen","Salt merchant, Bullock cart","Bullock cart, Sun's heat","Metaphor"
"339","கதழ் கோல் உமணர் காதல் மட மகள்","kathaḻ kōl umāṇar kādal maṭa makkaḷ","with a stick, to sell his white grainy salt","Daughter of a salt merchant","Daughter, Selling salt","Imagery"
"340","சில் கோல் எல் வளை தெளிர்ப்ப வீசி,","cil kōl el vaḷai teḷirppa vīsī,","made in the salt pans without plowing","Selling salt","Salt pans, Hands","Imagery"
"341","நெல்லின் நேரே வெண்கல் உப்பு எனச்","nellin nēṟē veṇkaḷ uppu eṉaṟ","near the seashore in a small settlement","Seashore, Settlement","Settlement, Seashore","Imagery"
"342","சேரி விலைமாறு கூறலின், மனைய","cēri viḷaimāṟu kūṟaḷiṉ, maṉaiya","of fishermen who hunt the huge ocean for fish","Fishermen","Ocean, Settlement","Imagery"
"343","விளி அறி ஞமலி குரைப்ப வெரீஇய","viḷi aṟi ñamali kuraippa verīiya","She walks through the settlement with salt","Settlement, Salt","Walking, Salt","Imagery"
"344","மதர் கயல் மலைப்பின் அன்ன கண் எமக்கு,","matar kayal malaippin anna kaṇ emakku,","swaying her hands, jingling her round, bright bangles","Carp fish, Bangles","Bright bangles","Imagery"
"345","இதை முயல் புனவன் புகை நிழல் கடுக்கும்","itā muyaḷ puṉavaṉ pukai niḻal kaṭukkum","and shouting, “equal measure of white grainy salt for rice paddy!”","Salt shouting, Fear","Fear, Shouting","Dialogue"
